County,Total Distance Travelled,Total Time Travelled
Antrim,20,100
Armagh,10,80
Carlow,15,75
Cavan,33,330
Clare,22,110
Cork,44,880
Derry,55,100
Donegal,6,14
Down,44,48
Dublin,44,40
Fermanagh,55,122
Galway,66,30
Kerry,77,210
Kildare,55,110
Kilkenny,44,440
Laois,44,200
Leitrim,44,300
Limerick,33,250
Longford,88,550
Louth,99,120
Mayo,77,315
Meath,77,77
Monaghan,77,400
Offaly,77,389
Roscommon,88,240
Sligo,6,50
Tipperary,66,30
Tyrone,55,345
Waterford,4,8
Westmeath,44,22
Wexford,3,12
Wicklow,3,9
